name,url,duration,test_type,remote_testing,adaptive_irt
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,N/A,K,Yes,No
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,N/A,K,Yes,No
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,N/A,K,Yes,No
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,N/A,K,Yes,No
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,N/A,K,Yes,No
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,N/A,K,Yes,No
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,N/A,K,Yes,No
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,N/A,K,Yes,No
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,N/A,K,Yes,No
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,N/A,K,Yes,No
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,N/A,K,Yes,No
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,N/A,K,Yes,No
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,N/A,K,Yes,No
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,N/A,"C, A, P",Yes,No
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,N/A,K,Yes,No
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,N/A,K,Yes,No
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,N/A,"A, C, P",Yes,No
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,N/A,K,Yes,No
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,N/A,K,Yes,No
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,N/A,K,Yes,No
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,N/A,K,Yes,Yes
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,N/A,K,Yes,No
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,N/A,K,Yes,Yes
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,N/A,K,Yes,No
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,N/A,K,Yes,No
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,N/A,K,Yes,No
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,N/A,K,Yes,No
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,N/A,A,Yes,Yes
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,N/A,A,Yes,Yes
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,N/A,A,Yes,Yes
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,N/A,C,Yes,No
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,N/A,C,Yes,No
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,N/A,C,Yes,No
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,N/A,K,Yes,No
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,N/A,"B, K, S, A",Yes,No
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,N/A,K,Yes,No
Ruby (New),https://www.shl.com/products/product-catalog/view/ruby-new/,N/A,K,Yes,No
Ruby on Rails (New),https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,N/A,K,Yes,No
Sales & Service Phone Solution,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,N/A,"B, P, S",Yes,No
Sales & Service Phone Simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,N/A,"S, B",Yes,No
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,N/A,P,Yes,No
Sales Interview Guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,N/A,"P, P",Yes,No
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,N/A,P,Yes,No
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,N/A,P,Yes,No
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,N/A,P,Yes,No
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,N/A,P,Yes,No
SAP ABAP (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,N/A,K,Yes,No
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,N/A,K,Yes,No
SAP BW (Business Warehouse) (New),https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/,N/A,K,Yes,No
Salesforce Development (New),https://www.shl.com/products/product-catalog/view/salesforce-development-new/,N/A,K,Yes,No
SAP Basis (New),https://www.shl.com/products/product-catalog/view/sap-basis-new/,N/A,K,Yes,No
SAP ABAP (Intermediate Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,N/A,K,Yes,No
SAP Hybris (New),https://www.shl.com/products/product-catalog/view/sap-hybris-new/,N/A,K,Yes,No
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,N/A,K,Yes,No
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,N/A,K,Yes,No
Selenium (New),https://www.shl.com/products/product-catalog/view/selenium-new/,N/A,K,Yes,No
SAP SD (Sales and Distribution) (New),https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,N/A,K,Yes,No
Search Engine Optimization (New),https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,N/A,K,Yes,No
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,N/A,"A, S",Yes,Yes
Shell Scripting (New),https://www.shl.com/products/product-catalog/view/shell-scripting-new/,N/A,K,Yes,No
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,N/A,"A, S",Yes,Yes
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,N/A,"A, S",Yes,Yes
Siebel Development (New),https://www.shl.com/products/product-catalog/view/siebel-development-new/,N/A,K,Yes,No
Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,N/A,K,Yes,No
Smart Interview On Demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,N/A,P,Yes,No
SHL Verify Interactive G+,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,N/A,A,Yes,Yes
Social Media (New),https://www.shl.com/products/product-catalog/view/social-media-new/,N/A,K,Yes,No
SHL Verify Interactive Numerical Calculation,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,N/A,A,Yes,Yes
Smart Interview Live,https://www.shl.com/products/product-catalog/view/smart-interview-live/,N/A,P,Yes,No
Split Screen Typing Test - Form 1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,N/A,"A, K",Yes,No
SonarQube (New),https://www.shl.com/products/product-catalog/view/sonarqube-new/,N/A,K,Yes,No
Software Business Analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/,N/A,K,Yes,Yes
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,N/A,K,Yes,No
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,N/A,K,Yes,No
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,N/A,K,Yes,No
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,N/A,K,Yes,No
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,N/A,K,Yes,No
SQL Server Integration Services (SSIS) (New),https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,N/A,K,Yes,No
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,N/A,K,Yes,No
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,N/A,K,Yes,No
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,N/A,S,Yes,No
Struts (New),https://www.shl.com/products/product-catalog/view/struts-new/,N/A,K,Yes,No
SVAR - Spoken English (AUS),https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,N/A,S,Yes,No
SVAR - Spoken English (U.K.),https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,N/A,S,Yes,No
SVAR - Spoken French (Canadian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,N/A,S,Yes,No
SVAR - Spoken English (US)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/,N/A,S,Yes,No
SVAR - Spoken French (European) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,N/A,S,Yes,No
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,N/A,S,Yes,No
Tableau (New),https://www.shl.com/products/product-catalog/view/tableau-new/,N/A,K,Yes,No
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,N/A,S,Yes,No
Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,N/A,K,Yes,No
Swing (New),https://www.shl.com/products/product-catalog/view/swing-new/,N/A,K,Yes,No
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,N/A,K,Yes,Yes
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,N/A,K,Yes,Yes
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,N/A,K,Yes,No
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,N/A,S,Yes,No
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,N/A,K,Yes,No
Universal Competency Framework Job profiling guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,N/A,"C, P",Yes,No
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,N/A,K,Yes,No
Universal Competency Framework Interview Guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,N/A,"C, P",Yes,No
VB.NET (New),https://www.shl.com/products/product-catalog/view/vb-net-new/,N/A,K,Yes,No
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,N/A,"C, P",Yes,No
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,N/A,A,Yes,Yes
Verify - G+,https://www.shl.com/products/product-catalog/view/verify-g/,N/A,A,Yes,Yes
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,N/A,A,Yes,No
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,N/A,A,Yes,Yes
Verify - Technical Checking - Next Generation,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,N/A,A,Yes,No
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,N/A,A,Yes,Yes
Verify - Inductive Reasoning (2014),https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,N/A,A,Yes,Yes
Verify - Verbal Ability - Next Generation,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,N/A,A,Yes,Yes
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,N/A,A,Yes,No
Verify G+ - Candidate Report,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,N/A,A,Yes,No
Verify G+ - Ability Test Report,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,N/A,A,Yes,No
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,N/A,A,Yes,No
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,N/A,A,Yes,No
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,N/A,A,Yes,No
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,N/A,P,Yes,No
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,N/A,A,Yes,No
Visual Basic for Applications (New),https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,N/A,K,Yes,No
Visual Comparison - UK,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,N/A,K,Yes,No
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,N/A,K,Yes,No
VLSI and Embedded Systems (New),https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,N/A,K,Yes,No
Workplace Health and Safety (New),https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,N/A,K,Yes,No
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,N/A,K,Yes,Yes
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,N/A,S,Yes,No
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,N/A,K,Yes,No
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,N/A,S,Yes,No
WriteX - Email Writing (Sales) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,N/A,"B, S",Yes,No
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,N/A,K,Yes,Yes
Written Spanish,https://www.shl.com/products/product-catalog/view/written-spanish/,N/A,K,Yes,Yes
Zabbix (New),https://www.shl.com/products/product-catalog/view/zabbix-new/,N/A,K,Yes,No
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,N/A,D,Yes,No
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,N/A,"D, P",Yes,No
