name,url,duration,test_type,remote_testing,adaptive_irt
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,N/A,K,Yes,No
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,N/A,K,Yes,No
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,N/A,K,Yes,No
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,N/A,K,Yes,No
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,N/A,K,Yes,No
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,N/A,K,Yes,No
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,N/A,S,Yes,No
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,N/A,K,Yes,No
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,N/A,S,Yes,No
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,N/A,K,Yes,No
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,N/A,"K, S",Yes,Yes
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,N/A,K,Yes,No
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,N/A,"B, S",Yes,No
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,N/A,K,Yes,No
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,N/A,"B, P, S",Yes,No
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,N/A,K,Yes,No
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,N/A,K,Yes,No
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,N/A,K,Yes,No
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,N/A,S,Yes,No
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,N/A,K,Yes,No
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,N/A,K,Yes,No
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,N/A,P,Yes,No
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,N/A,K,Yes,No
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,N/A,K,Yes,Yes
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,N/A,K,Yes,No
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,N/A,K,Yes,No
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,N/A,K,Yes,No
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,N/A,P,Yes,No
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,N/A,P,Yes,No
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,N/A,K,Yes,No
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,N/A,K,Yes,No
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,N/A,P,Yes,No
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,N/A,K,Yes,No
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,N/A,K,Yes,No
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,N/A,K,Yes,No
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,N/A,K,Yes,No
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,N/A,K,Yes,No
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,N/A,K,Yes,No
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,N/A,K,Yes,No
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,N/A,K,Yes,No
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,N/A,K,Yes,No
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,N/A,P,Yes,No
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,N/A,P,Yes,No
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,N/A,"C, P",Yes,No
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,N/A,"C, P",Yes,No
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,N/A,"P, C",Yes,No
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,N/A,"C, P",Yes,No
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,N/A,"C, P",Yes,No
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,N/A,"P, C",Yes,No
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,N/A,K,Yes,No
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,N/A,B,Yes,No
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,N/A,B,Yes,No
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,N/A,K,Yes,No
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,N/A,B,Yes,No
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,N/A,K,Yes,No
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,N/A,K,Yes,No
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,N/A,K,Yes,No
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,N/A,K,Yes,No
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,N/A,K,Yes,No
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,N/A,K,Yes,No
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,N/A,K,Yes,No
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,N/A,K,Yes,No
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,N/A,K,Yes,No
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,N/A,K,Yes,No
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,N/A,K,Yes,No
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,N/A,K,Yes,No
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,N/A,K,Yes,No
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,N/A,K,Yes,No
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,N/A,K,Yes,No
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,N/A,K,Yes,No
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,N/A,"C, K",Yes,No
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,N/A,B,Yes,No
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,N/A,B,Yes,No
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,N/A,B,Yes,No
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,N/A,K,Yes,No
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,N/A,K,Yes,Yes
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,N/A,"C, P",Yes,No
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,N/A,"C, P",Yes,No
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,N/A,K,Yes,No
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,N/A,C,Yes,No
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,N/A,K,Yes,No
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,N/A,K,Yes,No
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,N/A,K,Yes,No
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,N/A,K,Yes,No
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,N/A,K,Yes,No
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,N/A,K,Yes,No
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,N/A,K,Yes,No
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,N/A,K,Yes,No
